timestamps,TP9,AF7,AF8,TP10,conc
1533222560,59.105,28.32,15.137,12.207,0
1533222560,62.012,30.273,43.945,11.719,0
1533222560,44.922,30.273,-97.656,11.23,0
1533222560,28.809,27.832,-110.352,9.277,0
1533222560,36.156,28.809,-73.242,11.23,0
1533222560,57.617,36.133,-17.09,16.113,0
1533222560,74.219,38.574,42.48,27.832,0
1533222560,57.129,33.691,-30.273,34.18,0
1533222560,23.949,29.785,-101.074,13.184,0
1533222560,20.02,33.203,-92.285,9.277,0
1533222560,41.504,33.203,-24.902,15.625,0
1533222560,51.758,29.785,68.359,14.16,0
1533222560,47.852,34.18,-29.297,21.973,0
1533222560,34.18,36.133,-122.07,17.578,0
1533222560,33.691,34.668,-84.473,12.207,0
1533222560,52.246,36.133,-20.996,20.508,0
1533222560,62.012,40.039,21.973,21.973,0
1533222560,51.781,36.133,-81.055,14.648,0
1533222560,38.574,34.668,-115.234,16.113,0
1533222560,45.41,44.434,-64.941,21.484,0
1533222560,59.57,41.992,21.973,23.438,0
1533222560,68.359,37.598,62.012,21.484,0
1533222560,63.965,48.34,-47.852,20.508,0
1533222560,52.734,52.246,-147.949,20.02,0
1533222560,58.594,53.223,-100.586,18.555,0
1533222560,69.336,53.711,-47.852,21.484,0
1533222560,74.219,49.316,10.742,25.879,0
1533222560,73.73,47.363,24.414,30.273,0
1533222560,62.012,42.969,-127.441,32.227,0
1533222560,54.199,39.062,-127.93,33.203,0
1533222560,69.336,39.551,-56.152,30.762,0
1533222560,91.309,41.016,34.668,34.18,0
1533222560,95.332,39.551,36.621,37.598,0
1533222560,71.777,39.062,-101.562,36.133,0
1533222560,72.754,37.109,-107.422,35.156,0
1533222560,87.891,38.086,-22.461,31.25,0
1533222560,103.027,41.504,39.551,32.715,0
1533222560,102.539,34.668,7.812,34.18,0
1533222560,80.078,38.086,-97.168,36.133,0
1533222560,77.637,50.781,-90.82,44.434,0
1533222560,94.145,61.523,-24.414,50.781,0
1533222560,107.91,66.406,32.227,58.105,0
1533222560,107.91,60.547,51.758,56.152,0
1533222560,96.68,62.012,-34.668,48.828,0
1533222560,86.426,69.336,-73.242,46.875,0
1533222560,82.379,64.453,-64.453,42.48,0
1533222560,105.957,62.012,-4.883,43.945,0
1533222560,113.77,69.336,81.543,49.805,0
1533222560,98.145,70.801,-29.297,55.664,0
1533222560,83.008,64.941,-80.078,49.316,0
1533222560,89.844,62.012,-66.406,40.039,0
1533222560,107.422,62.5,15.625,42.969,0
1533222560,110.352,54.688,41.016,45.898,0
1533222560,88.379,46.387,-95.215,38.086,0
1533222560,63.477,41.504,-116.211,32.715,0
